Time series;Source Rate;Latest Activity;Events Per Time Period
Apr 1st 2026, 12:00:00 am;0.009039548;Apr 1st 2026, 12:48:01 am;16
Apr 1st 2026, 1:00:00 am;0.019525802;Apr 1st 2026, 1:59:24 am;70
Apr 1st 2026, 2:00:00 am;0.009205021;Apr 1st 2026, 2:52:29 am;33
Apr 1st 2026, 3:00:00 am;0.41868895;Apr 1st 2026, 3:35:56 am;1501
Apr 1st 2026, 4:00:00 am;0.04630404;Apr 1st 2026, 4:59:43 am;166
Apr 1st 2026, 5:00:00 am;0.033472802;Apr 1st 2026, 5:52:12 am;120
Apr 1st 2026, 6:00:00 am;0.096792184;Apr 1st 2026, 6:59:17 am;347
Apr 1st 2026, 7:00:00 am;0.10616248;Apr 1st 2026, 7:58:23 am;379
Apr 1st 2026, 8:00:00 am;0.15090658;Apr 1st 2026, 8:59:33 am;541
Apr 1st 2026, 9:00:00 am;0.17071135;Apr 1st 2026, 9:58:39 am;612
Apr 1st 2026, 10:00:00 am;0.11854951;Apr 1st 2026, 10:58:53 am;425
Apr 1st 2026, 11:00:00 am;0.18577404;Apr 1st 2026, 11:59:43 am;666
Apr 1st 2026, 12:00:00 pm;0.08898193;Apr 1st 2026, 12:59:26 pm;319
Apr 1st 2026, 1:00:00 pm;0.039330542;Apr 1st 2026, 1:59:29 pm;141
Apr 1st 2026, 2:00:00 pm;0.07866109;Apr 1st 2026, 2:58:24 pm;282
Apr 1st 2026, 3:00:00 pm;0.029288704;Apr 1st 2026, 3:57:22 pm;105
Apr 1st 2026, 4:00:00 pm;0.012552301;Apr 1st 2026, 4:42:45 pm;45
Apr 1st 2026, 5:00:00 pm;0.0072524413;Apr 1st 2026, 5:58:34 pm;26
Apr 1st 2026, 6:00:00 pm;0.0011157602;Apr 1st 2026, 6:56:58 pm;4
Apr 1st 2026, 7:00:00 pm;0.0027894003;Apr 1st 2026, 7:56:54 pm;10
Apr 1st 2026, 8:00:00 pm;0.12549023;Apr 1st 2026, 8:52:18 pm;448
Apr 1st 2026, 9:00:00 pm;0.005299861;Apr 1st 2026, 9:55:05 pm;19
Apr 1st 2026, 10:00:00 pm;0.0145048825;Apr 1st 2026, 10:53:23 pm;52
Apr 1st 2026, 11:00:00 pm;0.09846584;Apr 1st 2026, 11:48:56 pm;353
Apr 2nd 2026, 12:00:00 am;0.50571823;Apr 2nd 2026, 12:48:21 am;1813
Apr 2nd 2026, 1:00:00 am;0.014225942;Apr 2nd 2026, 1:50:35 am;51
Apr 2nd 2026, 2:00:00 am;0.010320781;Apr 2nd 2026, 2:21:56 am;37
Apr 2nd 2026, 3:00:00 am;0.47587162;Apr 2nd 2026, 3:59:20 am;1706
Apr 2nd 2026, 4:00:00 am;0.020920502;Apr 2nd 2026, 4:57:25 am;75
Apr 2nd 2026, 5:00:00 am;0.03849372;Apr 2nd 2026, 5:59:14 am;138
Apr 2nd 2026, 6:00:00 am;0.04630404;Apr 2nd 2026, 6:55:48 am;166
Apr 2nd 2026, 7:00:00 am;0.15154064;Apr 2nd 2026, 7:54:28 am;541
Apr 2nd 2026, 8:00:00 am;0.15258023;Apr 2nd 2026, 8:58:52 am;547
Apr 2nd 2026, 9:00:00 am;0.07525038;Apr 2nd 2026, 9:57:04 am;263
