Time series;Latest Activity;Rate;Events Per Time Period;Stream Full
Apr 1st 2026, 12:00:00 am;Apr 1st 2026, 12:59:53 am;0.009039548;16;Fetching…
Apr 1st 2026, 1:00:00 am;Apr 1st 2026, 1:59:53 am;0.019525802;70;Fetching…
Apr 1st 2026, 2:00:00 am;Apr 1st 2026, 2:59:54 am;0.009205021;33;Fetching…
Apr 1st 2026, 3:00:00 am;Apr 1st 2026, 3:59:55 am;0.41868895;1501;Fetching…
Apr 1st 2026, 4:00:00 am;Apr 1st 2026, 4:59:57 am;0.04630404;166;Fetching…
Apr 1st 2026, 5:00:00 am;Apr 1st 2026, 5:59:57 am;0.033472802;120;Fetching…
Apr 1st 2026, 6:00:00 am;Apr 1st 2026, 6:59:59 am;0.096792184;347;Fetching…
Apr 1st 2026, 7:00:00 am;Apr 1st 2026, 7:59:45 am;0.10616248;379;Fetching…
Apr 1st 2026, 8:00:00 am;Apr 1st 2026, 8:59:47 am;0.15090658;541;Fetching…
Apr 1st 2026, 9:00:00 am;Apr 1st 2026, 9:59:48 am;0.17071135;612;Fetching…
Apr 1st 2026, 10:00:00 am;Apr 1st 2026, 10:59:49 am;0.11854951;425;Fetching…
Apr 1st 2026, 11:00:00 am;Apr 1st 2026, 11:59:51 am;0.18577404;666;Fetching…
Apr 1st 2026, 12:00:00 pm;Apr 1st 2026, 12:59:52 pm;0.08898193;319;Fetching…
Apr 1st 2026, 1:00:00 pm;Apr 1st 2026, 1:59:54 pm;0.039330542;141;Fetching…
Apr 1st 2026, 2:00:00 pm;Apr 1st 2026, 2:59:55 pm;0.07866109;282;Fetching…
Apr 1st 2026, 3:00:00 pm;Apr 1st 2026, 3:59:56 pm;0.029288704;105;Fetching…
Apr 1st 2026, 4:00:00 pm;Apr 1st 2026, 4:59:58 pm;0.012552301;45;Fetching…
Apr 1st 2026, 5:00:00 pm;Apr 1st 2026, 5:59:59 pm;0.0072524413;26;Fetching…
Apr 1st 2026, 6:00:00 pm;Apr 1st 2026, 6:59:59 pm;0.0011157602;4;Fetching…
Apr 1st 2026, 7:00:00 pm;Apr 1st 2026, 7:59:59 pm;0.0027894003;10;Fetching…
Apr 1st 2026, 8:00:00 pm;Apr 1st 2026, 8:59:45 pm;0.12549023;448;Fetching…
Apr 1st 2026, 9:00:00 pm;Apr 1st 2026, 9:59:46 pm;0.005299861;19;Fetching…
Apr 1st 2026, 10:00:00 pm;Apr 1st 2026, 10:59:47 pm;0.0145048825;52;Fetching…
Apr 1st 2026, 11:00:00 pm;Apr 1st 2026, 11:59:49 pm;0.09846584;353;Fetching…
Apr 2nd 2026, 12:00:00 am;Apr 2nd 2026, 12:59:51 am;0.50571823;1813;Fetching…
Apr 2nd 2026, 1:00:00 am;Apr 2nd 2026, 1:59:52 am;0.014225942;51;Fetching…
Apr 2nd 2026, 2:00:00 am;Apr 2nd 2026, 2:59:54 am;0.010320781;37;Fetching…
Apr 2nd 2026, 3:00:00 am;Apr 2nd 2026, 3:59:55 am;0.47587162;1706;Fetching…
Apr 2nd 2026, 4:00:00 am;Apr 2nd 2026, 4:59:57 am;0.020920502;75;Fetching…
Apr 2nd 2026, 5:00:00 am;Apr 2nd 2026, 5:59:58 am;0.03849372;138;Fetching…
Apr 2nd 2026, 6:00:00 am;Apr 2nd 2026, 6:59:59 am;0.04630404;166;Fetching…
Apr 2nd 2026, 7:00:00 am;Apr 2nd 2026, 7:59:45 am;0.15154064;541;Fetching…
Apr 2nd 2026, 8:00:00 am;Apr 2nd 2026, 8:59:47 am;0.15258023;547;Fetching…
Apr 2nd 2026, 9:00:00 am;Apr 2nd 2026, 9:59:48 am;0.07336125;263;Fetching…
