"column_name","data_type","numeric_precision","numeric_scale","is_nullable","is_pk"
"sendung_tix","numeric",22,0,"NO",True
"u_version","character",NULL,NULL,"YES",False
"sendung_n","numeric",7,0,"YES",False
"fix_key","character",NULL,NULL,"YES",False
"sendungsart","character",NULL,NULL,"YES",False
"firma","numeric",3,0,"YES",False
"niederlassung","numeric",2,0,"YES",False
"rollkart_tix","numeric",22,0,"YES",False
"bordero_tix","numeric",22,0,"YES",False
"ladelist_tix","numeric",22,0,"YES",False
"c_time","timestamp without time zone",NULL,NULL,"YES",False
"c_user","character",NULL,NULL,"YES",False
"u_time","timestamp without time zone",NULL,NULL,"YES",False
"ols_user","character",NULL,NULL,"YES",False
"leistungsdatum","timestamp without time zone",NULL,NULL,"YES",False
"auftrag_n","character varying",NULL,NULL,"YES",False
"lagerplatz","character",NULL,NULL,"YES",False
"zone_abg","character",NULL,NULL,"YES",False
"zone_empf","character",NULL,NULL,"YES",False
"fixtermin_datum","timestamp without time zone",NULL,NULL,"YES",False
"fixtermin_zeit","timestamp without time zone",NULL,NULL,"YES",False
"frankatur","character",NULL,NULL,"YES",False
"status_erf","character",NULL,NULL,"YES",False
"status_dis","character",NULL,NULL,"YES",False
"relation","character",NULL,NULL,"YES",False
"tour","numeric",3,0,"YES",False
"status_zus","character",NULL,NULL,"YES",False
"status_frb","character",NULL,NULL,"YES",False
"status_mod","character",NULL,NULL,"YES",False
"status_abf","character",NULL,NULL,"YES",False
"status_fak","character",NULL,NULL,"YES",False
"status_rue","character",NULL,NULL,"YES",False
"status_sta","character",NULL,NULL,"YES",False
"status_hst","numeric",3,0,"YES",False
"status_1","character",NULL,NULL,"YES",False
"status_2","character",NULL,NULL,"YES",False
"status_3","character",NULL,NULL,"YES",False
"status_4","character",NULL,NULL,"YES",False
"status_5","character",NULL,NULL,"YES",False
"status_6","character",NULL,NULL,"YES",False
"status_7","character",NULL,NULL,"YES",False
"status_8","character",NULL,NULL,"YES",False
"status_9","character",NULL,NULL,"YES",False
"status_10","character",NULL,NULL,"YES",False
"status_11","character",NULL,NULL,"YES",False
"status_12","character",NULL,NULL,"YES",False
"status_13","character",NULL,NULL,"YES",False
"status_14","character",NULL,NULL,"YES",False
"status_15","character",NULL,NULL,"YES",False
"auftrag_doss_t","character",NULL,NULL,"YES",False
"absend_n","numeric",10,0,"YES",False
"absend_i","numeric",2,0,"YES",False
"absend_name1","character",NULL,NULL,"YES",False
"empf_n","numeric",10,0,"YES",False
"empf_i","numeric",2,0,"YES",False
"empf_name1","character",NULL,NULL,"YES",False
"sped_n","numeric",10,0,"YES",False
"sped_i","numeric",2,0,"YES",False
"sped_name1","character",NULL,NULL,"YES",False
"unt_n","numeric",10,0,"YES",False
"unt_i","numeric",2,0,"YES",False
"unt_name1","character",NULL,NULL,"YES",False
"dispo_deaktiv","character",NULL,NULL,"YES",False
"direktsendung","character",NULL,NULL,"YES",False
"direkt_angeladen","character",NULL,NULL,"YES",False
"gefahrgut","character",NULL,NULL,"YES",False
"lauf_kennz","character",NULL,NULL,"YES",False
"zeitzone","numeric",2,0,"YES",False
"gewicht","numeric",9,3,"YES",False
"gewicht_frachtpf","numeric",9,3,"YES",False
"volumen","numeric",9,3,"YES",False
"anzahl_colli","numeric",5,0,"YES",False
"eing_bordero_n","character",NULL,NULL,"YES",False
"eing_bordero_pos","numeric",3,0,"YES",False
"rollk_n","numeric",15,0,"YES",False
"rollk_pos","numeric",3,0,"YES",False
"rollk_e","timestamp without time zone",NULL,NULL,"YES",False
"rollk_abhol_n","numeric",15,0,"YES",False
"rollk_abhol_pos","numeric",3,0,"YES",False
"bordero_n","numeric",15,0,"YES",False
"bordero_pos","numeric",3,0,"YES",False
"bordero_e","timestamp without time zone",NULL,NULL,"YES",False
"ladeliste_n","numeric",15,0,"YES",False
"ladeliste_pos","numeric",3,0,"YES",False
"ladeliste_e","timestamp without time zone",NULL,NULL,"YES",False
"entladeliste","numeric",15,0,"YES",False
"auftragsart","character",NULL,NULL,"YES",False
"faktur_freigabe","character",NULL,NULL,"YES",False
"selbstabholer","character",NULL,NULL,"YES",False
"selbstanlieferer","character",NULL,NULL,"YES",False
"dfue_in","timestamp without time zone",NULL,NULL,"YES",False
"dfue_out","timestamp without time zone",NULL,NULL,"YES",False
"dfue_empf_sped","character",NULL,NULL,"YES",False
"absend_name2","character",NULL,NULL,"YES",False
"absend_name3","character",NULL,NULL,"YES",False
"absend_strasse","character",NULL,NULL,"YES",False
"absend_land","character",NULL,NULL,"YES",False
"absend_plz","character",NULL,NULL,"YES",False
"absend_ort","character",NULL,NULL,"YES",False
"absend_bezirk","character",NULL,NULL,"YES",False
"absend_ort_tix","numeric",22,0,"YES",False
"absend_postf","character",NULL,NULL,"YES",False
"absend_pf_plz","character",NULL,NULL,"YES",False
"absend_abw_land","character",NULL,NULL,"YES",False
"absend_abw_plz","character",NULL,NULL,"YES",False
"absend_abw_ort","character",NULL,NULL,"YES",False
"absend_abw_bez","character",NULL,NULL,"YES",False
"absend_abworttix","numeric",22,0,"YES",False
"absend_ust_id","character",NULL,NULL,"YES",False
"empf_name2","character",NULL,NULL,"YES",False
"empf_name3","character",NULL,NULL,"YES",False
"empf_strasse","character",NULL,NULL,"YES",False
"empf_land","character",NULL,NULL,"YES",False
"empf_plz","character",NULL,NULL,"YES",False
"empf_ort","character",NULL,NULL,"YES",False
